;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC11110;An open discussion amongst liberals in $COUNTRY$ has been occurring regarding the formation of a confederation of North German states. Conditions have never been right for it in the past, but many believe such a union is needed if the Germans are ever to have true security and take their place among the powers of the world. A $COUNTRY_ADJ$-led movement to create such a confederation might go over well with our neighbours, if we made the attempt to create it.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC13020;An old pond\nA frog jumps in —\nThe sound of water.'\n\n-- Matsuo Basho\n\nOne of our coastal provinces is bustling with rumors about the strange people who were found along its shorelines earlier this morning. The more precise origin of these shipwrecked sailors is as of yet uncertain, but, wherever they are from, they are definitely not $COUNTRY_ADJ$.;;Ein alter Teich\nEin Frosch spring hinein —\nDer Klang von Wasser.'\n\n-- Matsuo Basho\n\n$PROVINCENAME$ ist voller Gerüchte über die seltsamen Menschen, die heute Morgen am Gestade gefunden wurden. Die genaue Herkunft dieser schiffbrüchigen Matrosen ist noch unklar, aber woher sie auch stammen mögen, sie sind definitiv nicht $COUNTRY_ADJ$.;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
EVTDESC13040;Despite the obvious rightness of our country's trade policies, greater amounts of foreign goods could be useful, and elements within our administration have suggested setting up a limited trading post in one of our coastal cities, where foreign ships can moor and trade, without compromising the cultural integrity of $COUNTRYNAME$. It could be an economic boon to the area and the nation, but conservative voices warn that destructive foreign influences might further creep into our society.;;Trotz der offensichtlichen Richtigkeit unserer Isolationspolitik könnte eine gewisse Menge ausländischer Güter uns von Nutzen sein. Einige Elements in unserer Regierung haben vorgeschladen, einen beschränkten Handelsposten in $PROVINCENAME$ zu errichten, wo ausländische Schiffe ankern und handeln können, ohne im Großen und Ganzen unsere Politik der Separation vom Rest der Welt außerhalb $COUNTRYNAME$ zu kompromittieren. Es könnte für das Gebiet wie auch die Nation einen wirtschaftlichen Aufschwung bedeuten, aber konservative Stimmen warnen, dass destruktive ausländische Einflüsse sich in unsere Gesellschaft einschleichen könnten.;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,
EVTDESC13050;A sweet, pungent stench hangs over the backstreets and alleys in one of our cities, emanating and spreading in every direction from an epicenter at the foreign trade station. The European traders have brought with them the habit of opium smoking, and our subjects have taken to it on a scale that threatens to become epidemic. It seems that, for every new ship that lands, more and more of our people get caught in the deadly and pacifying web of addiction. What should we do?;;Ein süßlich-stechender Gestank hängt über den Hintergassen und -gossen in $PROVINCENAME$ und verbreitet sich von einem Epizentrum an der ausländischen Handelsstation in alle Richtungen aus. Die europäischen Händler haben die Gewohnheit des Opiumrauchens mit sich gebracht, und unsere Untertanen haben sie auf eine Stufe erhöht, die zu einer Epidemie zu werden droht. Es scheint, dass mit jedem neuen Schiff, das ankert, mehr und mehr unserer Untertanen sich im tödlichen Netz der Sucht verstricken. Was sollen wir tun?;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,
EVTDESC13070;Rangaku', literally translated as 'Dutch learning', and by extension 'Western learning', is a Japanese word used to describe a particular body of knowledge and learning imported from the west via a Dutch trading station at Dejima. Something similar has ocurred at the trading station in one of our provinces, where local officials are busy translating western books and treatises on science, advancing $COUNTRY_ADJ$ science and understanding of the world.;;Rangaku', wörtlich übersetzt als 'Lehren der Holländer', und weitergehend als 'Lehren aus dem Westen', ist ein japanisches Wort, das ein bestimmtes Wissen bedeutet, welches aus dem Westen über einen holländische Handelsposten in Dejima nach Japan kam. Etwas Ähnliches ist am Handelsposten in $PROVINCENAME$ geschehen, wo örtliche Beamte damit beschäftigt sind, westliche Bücher und wissenschaftliche Abhandlungen zu übersetzen, um die $COUNTRY_ADJ$ Wissenschaft und die Kenntnis von der Welt weiterzubringen.;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,
EVTDESC13080;He hides his face and speaks with controlled anger. A local aristocrat has been insulted by one of the foreigners living in one of our provinces. Apperantly, the foreigner in question failed to bow in the appropriate manner when passing the aristocrat on the street. Shall we tolerate such blatant ignorance of our customs?;;Er verbirgt sein Gesicht und spricht mit kontrolliertem Ärger. Ein lokaler Aristokrat in $PROVINCENAME$ wurde von einem der dort lebenden Ausländer beleidigt. Offensichtlich versäumte der Ausländer, sich in der korrekten Weise zu verbeugen, als er dem Aristokraten auf der Straße begegnete. Sollen wir solch blatante Ignoranz unserer Sitten tolerieren?;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,
EVTDESC13090;He unveils the device with the excitement of a child. - 'You can see their eyes!', he cries, pointing excitedly at the jar of beetles. He instructs you to look into the object -- the glass and metal is cold against your face -- there, in curves of an optic lense, reality is magnified ten times over. - 'It's a microscope!, he laughs. - 'I bought it from one of the foreigners!';;Er enthüllt den Apparat mit der Begeisterung eines Kindes. - 'Man kann ihre Augen sehen!', ruft er aus und deutet aufgeregt auf das Glas mit den Käfern. Er bedeutet Ihnen, in den Apparat zu schauen -- das Glas und Metall fühlt sich auf Ihrem Gesicht kalt an -- dort, in den Biegungen einer optischen Linse, sieht die Realität zehnmal größer aus. - 'Es ist ein Mikroskop!', lacht er. - 'Ich habe es von den Ausländern in $PROVINCENAME$ gekauft!';;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,
EVTDESC13140;Some intelligence concerning our military preparations has spread from the military mission in one of our provinces, severely hurting our war effort. We have expelled the members of the mission, but the damage has already been done.;Des renseignements confidentiels concernant nos préparatifs militaires ont été divulgués par la mission militaire de $PROVINCENAME$, estropiant gravement notre effort de guerre. Nous avons expulsé les membres de la mission, mais le mal est fait.;Einige Informationen über unsere militärischen Vorbereitungen haben sich aus der Militärmission in $PROVINCENAME$ verbreitet und schaden unseren Kriegsbemühungen enorm. Wir haben die Missionsmitglieder des Landes verwiesen, aber der Schaden ist passiert.;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,
EVTDESC13160;Sailors winding up drunk in $COUNTRY_ADJ$ prisons aren't normally affairs of state, but this is an exception. A navyman from one of the Great Powers has been arrested by officials in one of our cities, after having murdered one of our subjects in what appears to have started as a bar fight. The diplomatic attaché insists that the sailor be handed over to the country in question, and tried according to their laws. This presents us with a conundrum. Granting this privilege once is tantamount to allowing extraterritoriality to all foreign subjects, but not doing so might very well cause international uproar. This issue merits careful consideration.;;Betrunkene Matrosen, die in $COUNTRY_ADJ$ Gefängnissen landen, sind üblicherweise keine Staatsaffären, aber dies ist eine Ausnahme. Ein Matrose aus einer der Großmächte wurde in $PROVINCENAME$ verhaftet, nachdem er einen unserer Untertanen im Verlauf einer Kneipenschlägerei umbrachte. Der diplomatische Attaché besteht darauf, dass der Matrose den Gerichten seines Heimatlandes ausgeliefert und dort nach ihren Gesetzen verurteilt wird. Dies bringt uns in eine Zwickmühle. Dieses Privileg ist ein wichtiger Teil der Extraterritorialität, die allen Ausländern zusteht, aber wenn wir es nicht tun, sehen wir einem internationalen Aufschrei entgegen. Dieses Problem muss sorgfältig durchdacht werden.;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,
EVTDESC13220;Several of the Great Powers have in the past few years sought to establish formalized and permanent embassies in $COUNTRYNAME$, but up until now we've turned down their proposals. However, an idea has been floating around the capital that we should perhaps allow them to set up these embasasies after all, provided they are all kept in one place where we can exact some amount of control over them. Perhaps a Legation Quarter in $CAPITAL$ could be just the thing?;;Mehrere Großmächte haben in der Vergangenheit versucht, formelle und permanente Botschaften in $COUNTRYNAME$ zu errichten, aber bis heute haben wir ihre Ansinnen abgelehnt. Jedoch geistert eine Idee durch die Hauptstadt, dass wir ihnen vielleicht doch erlauben sollten, hier Botschaften zu errichten, solange sie alle am selben Ort sind, wo wir sie bis zu einem gewissen Grad kontrollieren können. Vielleicht wäre ein Legationsviertel in $PROVINCENAME$ genau das Richtige?;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,
EVTDESC13230;Wandering alone in the streets of $CAPITAL$ can be a dangerous thing, as a foreign ambassador in the Legation Quarter recently found out. Guards report having found him dead at 4 a.m. in the morning, apperently the vicitm of a robbery, however the foreigners accuse us of having failed in our supposed responsibility to protect their diplomats. We fear that even a formal apology will not be enough to placate them, however, something more tangible might...;;Alleine durch die Straßen von $PROVINCENAME$ zu wandern, kann gefährlich sein, wie ein ausländischer Botschafter im Legationsviertel neulich herausfand. Wachen fanden ihn um vier Uhr morgens tot auf, offensichtlich Opfer eines Raubüberfalls. Die Ausländer aber beschuldigen uns, unserer angeblichen Pflicht, ihre Diplomaten zu schützen, nicht Genüge getan zu haben. Wir fürchten, dass selbst eine formelle Entschuldigung nicht ausreichen wird, um sie zu besänftigen, aber vielleicht etwas mehr Handfestes ...;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,
EVTDESC13280;The reforms sweeping through our country have upset the landed elites in one of our cities.;Les réformes menées dans notre pays déplaisent aux élites foncières de $PROVINCENAME$.;Die unser Land überziehenden Reformen haben die Landbesitzereliten in $PROVINCENAME$ verärgert.;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,
EVTNAME13202;$FROMCOUNTRY_ADJ$ Relations;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC13202;Our relations with $FROMCOUNTRY$ have worsened to the point that members of their government have begun a campaign to reduce or even eliminate $COUNTRY_ADJ$ influence. Some of our diplomats have fled, and now we are faced with the unpleasant prospect of either enforcing our interests or suffering embarassment at our inability to manage a former ally.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC13240_NEW;The oil lamp flickered, casting an orange, sooty glow across the moist brown of the cargo hold. The average ship docking in $COUNTRY$ carried very little to raise an eyebrow, but years of being fooled and fooled again by foreign merchants, trying to dodge some excise or other, had left him with a sixth sense for when things were out of order. A rat scurrying between some crates tipped him off. A sweet, pungent scent too familiar not to be alluring. Opium. A cargo hold full of opium.;;Die Öllampe flackerte und schien ein rußig-oranges Glühen über das feuchte Braun des Frachtraums. Das durchschnittlich aussehende Schiff, das in $PROVINCENAME$ vor Anker lag, führte wenig mit sich, das auch nur ein Augenbrauenheben verursachen würde, doch Jahre der Erfahrung mit ausländischen Kaufleuten, die immer wieder versuchten, ihn aufs Kreuz zu legen und Steuern zu umgehen, hatten ihm einen sechsten Sinn dafür eingebracht, wann etwas nicht in Ordnung war. Eine zwischen einigen Kisten umherhuschende Ratte hatte es ihm verraten. Ein süßlicher Geruch, zu vertraut, um nicht verlockend zu wirken. Opium. Ein ganzer Frachtraum voller Opium.;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,
EVTNAME13365;Boxers Occupy Foreign-Held Lands;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC13365;The Righteous Society of Harmonious Fists have invaded lands currently owned by a colonial power, but which rightfully belong to the Chinese. More than that, they have successfully occupied the territory and rebuffed efforts by westerners to take it back. We can attempt to stake our claim over the land once again," though if we do it is all but tantamount to a declaration of war-- and, considering the state the Qing Empire is in", it might be a war in which we stand to lose more than we gained.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME13370;The Boxers Victorious!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC13370;$CAPITAL$ has been occupied by the Righteous Society of Harmonious Fists, who have successfully driven foreign influence out of the country and restored it to its traditional policies of isolationism. What repercussions this will cause with the western powers remains to be seen, but for the moment the Empire stands triumphant.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME15315;$PROVINCECULTURE$ Resistance in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC15315;We have increasing reports of $PROVINCECULTURE$ dissent in $PROVINCENAME$, resistance to the local $COUNTRY_ADJ$ government's efforts to maintain control and has the potential to spread throughout $STATENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME16401;$FROMCOUNTRY$ Applies For Statehood!;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC16401;Yesterday morning we recieved a petition from the $FROMCOUNTRY_ADJ$ government, requesting Statehood in the United States of Central America. A state constitution has been submitted, along with maps defining the state's territorial boundries. Common opinion seems to hold it a forgone conclusion that we will accept this petition for statehood and forever join $FROMCOUNTRY$ into our prosperous $COUNTRY_ADJ$ republic.;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME17710;Communist Propaganda;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC17710;Communists have been distributing literature among the working classes in one of our states. They are claiming that the common man needs to rise up against the 'bourgeois' class, and that rule by the workers is the only way they can obtain fair conditions and a truly utopian society. Government officials are concerned, and some say that we need to crack down hard on this kind of talk.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME17720;Communist Riot;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC17720;The tense situation in one of our states has been aggravated by the presence of communist agitators, spurring on the working classes to rise up against the government and institute a rule by the workers. We could step in, but that might only provoke a rebellion. Allowing the agitators to continue spreading their propaganda, however, might let them get a stronger foothold in $COUNTRY$.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME17730;Communists in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC17730;A communist demonstration in the streets of $PROVINCENAME$, with shouts decrying the state of workers in $COUNTRY$, has gained the communists a great deal of attention and sympathy throughout $STATENAME$. Attempting to crack down on these agitators may only cause the demonstrations to turn into violence.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME22516;Signs of Relief;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC22516;$COUNTRY$ has suffered through the Great Depression, but this year there are signs the country may be recovering at last. While the $COUNTRY_ADJ$ stock markets are still in flux, with investors terrified and banks barely able to remain solvent, conditions overall appear to be improving.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME22590;Bull Market;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC22590;The $COUNTRY_ADJ$ markets have shown increasing strength as of late, and there are signs that industrial investments are prospering. Economists in $CAPITAL$ are predicting that $COUNTRY$ could see a boom in the years to come.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME22591;$COUNTRY_ADJ$ Economy Cools;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC22591;A recent string of very public failures in the $COUNTRY_ADJ$ industrial sector have led to a cooling of the economy, with bullish conditions ending earlier than was previously forecast.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME22595;$COUNTRY_ADJ$ Recession;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC22595;The $COUNTRY_ADJ$ economy has been sluggish as of late, with investors becoming reticent to commit to new projects. The $COUNTRY_ADJ$ people have responded by tightening their belts, making do with less... and while austerity serves its purpose, it also has the possibility of sending us further into economic decline.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME22596;$COUNTRY_ADJ$ Economy Stabilizes;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC22596;Early signs are that the $COUNTRY_ADJ$ economy is doing better than forecast, and the recession is coming to a close earlier than was thought possible.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME22606;Stock Market Recovers;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC22606;Bankers are breathing a sigh of relief as the $COUNTRY_ADJ$ stock market shows signs of early recovery.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME22610;Public Listed Companies;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC22610;A fledgling stock and bond market has been introduced to $COUNTRY$, particularly in $CAPITAL$ where a frenzy of speculative trading has already begun. $COUNTRY_ADJ$ economists are optimistic about the effect this will have on private investment, though some have expressed worry that what goes up... may also come down. For now we enjoy prosperity, but what will tomorrow bring?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME32509_NEW;the Alaskan Purchase;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC32509_NEW;We hear word from the Russian ambassador that they are willing to sell their Alaskan colony to us, for the right price. Perhaps we should consider making an offer before someone else snaps it up? The land isn't worth much at the moment, but owning Alaska would be a boon to our prestige.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME32510_NEW;the Alaskan Purchase;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC32510_NEW;We have received an offer from $FROMCOUNTRY$ to purchase the Alaskan colony. Should we accept?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME32512;Intervention in Hungary?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC32512;The Hungarian revolution in Austria sets a dangerous precedent. There are far too many minorities in $COUNTRY$ who might look to the Hungarians as an inspiration, and who would rise up as well if we do not set a firm example. No matter our relation with the Austrian government, we must consider intervention against the Hungarian rebels or possibly face similar uprisings at home.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
