#Decision localisation;;;;;;;;;;;;;;
restore_rashids_title;Restore the House of Rasheed to the Arabian throne;Restaurer la dynastie des Al-Rasheed sur le trône d'Arabie;Restore the House of Rasheed to the Arabian throne;;;;;;;;;;;
treaty_of_vereeniging_title;Treaty of Vereeniging;;;;;;;;;;;;;
treaty_of_vereeniging_desc;The Cape Colony is under our control. Now is the time to sit down with our former colonial masters and work out a peace deal that will see it transferred back into Boer hands.;;;;;;;;;;;;;
pas_de_calais_title;Le Pas de Calais;;;;;;;;;;;;;
pas_de_calais_desc;Calais and the surrounding plains of Picardie were important places during the Hundred Years War. Sadly this territory was lost with Calais being surrendered to the Burgundian king during the Anglo-French wars of Religion. But with our troops having recaptured the closest land to England we could make the International Concert recognize our claim !;;;;;;;;;;;;;
form_franche_comte_title;Form the Franche-Comte;;;;;;;;;;;;;
form_franche_comte_desc;The French claim on the Free County of Burgundy is solid. Though we had to project our power through force, we can claim the ethernal right to these lands.;;;;;;;;;;;;;
treaty_of_neuchatel_title;Treaty of Neuchatel;;;;;;;;;;;;;
treaty_of_neuchatel_desc;Our ground in the South started to shake…we need to secure ourselves by signing this treaty. It might be humiliating now, but it will be viewed as a right decision in the future.;;;;;;;;;;;;;
savoi_at_last_title;Claim Savoy;;;;;;;;;;;;;
savoi_at_last_desc;We can extend our claims to the South through the creation of the Free Duchy of Geneve under our jurisdiction.;;;;;;;;;;;;;
savoi_at_last2_title;Claim Savoy;;;;;;;;;;;;;
savoi_at_last2_desc;We can extend our rights to the South through using the claim of the Grand Duchy of Geneve.;;;;;;;;;;;;;
fall_of_burgundy_title;Fall of Burgundy;;;;;;;;;;;;;
fall_of_burgundy_desc;We no longer have control of any of our territory in Europe and are no longer even recognized as a Great Power. Maybe it is time to admit defeat and give up our claim to Burgundy.;;;;;;;;;;;;;
move_to_namur_title;Relocalize to Namur;;;;;;;;;;;;;
move_to_namur_desc;We have lost control over the Dutch heartlands and it seems wiser for us to go to Namur to prepare the reconquest!;;;;;;;;;;;;;
move_back_anvers_title;Anvers the capital;;;;;;;;;;;;;
move_back_anvers_desc;The time of troubles has passed and now we have the control of the Netherlands in full we can go back to Anvers, the true capital of Burgundy!;;;;;;;;;;;;;
reclaim_flanders_title;Reclaim Flanders;;;;;;;;;;;;;
reclaim_flanders_desc;Flanders have been the heart of the Dutch people since the Middle-Ages. The independence movement may have taken control of the Netherlands but until Antwerp and Brugge aren't in our control we can't seriously proclaim to be the Dutch state!;;;;;;;;;;;;;
dutch_flanders_title;Renaming the Flanders;;;;;;;;;;;;;
dutch_flanders_desc;Let us rename the streets of our beloved provinces!;;;;;;;;;;;;;
burgundian_flanders_title;Renaming the Flanders;;;;;;;;;;;;;
burgundian_flanders_desc;Now we have taken the Flanders, we will certainly give back their true names, Burgundian names, to the Flemish cities!;;;;;;;;;;;;;
accept_rhenish_BRG_title;Integration of the Rheinland;;;;;;;;;;;;;
accept_rhenish_BRG_desc;The Rhine River has been the official border of the Kingdom of Burgundy since the conquests of Charles the Bold of 1483, even if it would take time to integrate the various duchies and cities in the Burgundian state. While they never enjoyed the same relation the Dutch had with the Valois the Rhineland was not a rebellious area, that is until the German revolution. Ever since the contract between Burgundy and the Rhenish seemed to have been broken. Eventually with efficient policies of integration this trust can be rebuild as to secure the loyalty of the Rhineland to Anvers.;;;;;;;;;;;;;
build_kiel_canal_mod_title;Build the Kiel Canal;Build the Kiel Canal;Build the Kiel Canal;Build the Kiel Canal;Build the Kiel Canal;Build the Kiel Canal;Build the Kiel Canal;Build the Kiel Canal;;;;;;
build_kiel_canal_mod_desc;Building a canal between the Baltic and The North Sea would be a tremendous boon to our shipping, and we are in a position to build one in Kiel. Reserve at least 120,000 before starting construction.;Building a canal between the Baltic and The North Sea would be a tremendous boon to our shipping, and we are in a position to build one in Kiel. Reserve at least 120,000 before starting construction.;Building a canal between the Baltic and The North Sea would be a tremendous boon to our shipping, and we are in a position to build one in Kiel. Reserve at least 120,000 before starting construction.;Building a canal between the Baltic and The North Sea would be a tremendous boon to our shipping, and we are in a position to build one in Kiel. Reserve at least 120,000 before starting construction.;Building a canal between the Baltic and The North Sea would be a tremendous boon to our shipping, and we are in a position to build one in Kiel. Reserve at least 120,000 before starting construction.;Building a canal between the Baltic and The North Sea would be a tremendous boon to our shipping, and we are in a position to build one in Kiel. Reserve at least 120,000 before starting construction.;Building a canal between the Baltic and The North Sea would be a tremendous boon to our shipping, and we are in a position to build one in Kiel. Reserve at least 120,000 before starting construction.;Building a canal between the Baltic and The North Sea would be a tremendous boon to our shipping, and we are in a position to build one in Kiel. Reserve at least 120,000 before starting construction.;;;;;;
build_suez_canal_mod_title;Build the Suez Canal;Build the Suez Canal;Build the Suez Canal;Build the Suez Canal;Build the Suez Canal;Build the Suez Canal;Build the Suez Canal;Build the Suez Canal;;;;;;
build_suez_canal_mod_desc;One of the long standing problems for shipping on the Far Eastern and India trades has always been the need to round the African Cape in order to actually get there. By establishing a canal through the Suez, we will shorten the journey to Asia by days, as well as perform a wonderful feat of modern engineering. Reserve at least 330,000 before starting construction.;One of the long standing problems for shipping on the Far Eastern and India trades has always been the need to round the African Cape in order to actually get there. By establishing a canal through the Suez, we will shorten the journey to Asia by days, as well as perform a wonderful feat of modern engineering. Reserve at least 330,000 before starting construction.;One of the long standing problems for shipping on the Far Eastern and India trades has always been the need to round the African Cape in order to actually get there. By establishing a canal through the Suez, we will shorten the journey to Asia by days, as well as perform a wonderful feat of modern engineering. Reserve at least 330,000 before starting construction.;One of the long standing problems for shipping on the Far Eastern and India trades has always been the need to round the African Cape in order to actually get there. By establishing a canal through the Suez, we will shorten the journey to Asia by days, as well as perform a wonderful feat of modern engineering. Reserve at least 330,000 before starting construction.;One of the long standing problems for shipping on the Far Eastern and India trades has always been the need to round the African Cape in order to actually get there. By establishing a canal through the Suez, we will shorten the journey to Asia by days, as well as perform a wonderful feat of modern engineering. Reserve at least 330,000 before starting construction.;One of the long standing problems for shipping on the Far Eastern and India trades has always been the need to round the African Cape in order to actually get there. By establishing a canal through the Suez, we will shorten the journey to Asia by days, as well as perform a wonderful feat of modern engineering. Reserve at least 330,000 before starting construction.;One of the long standing problems for shipping on the Far Eastern and India trades has always been the need to round the African Cape in order to actually get there. By establishing a canal through the Suez, we will shorten the journey to Asia by days, as well as perform a wonderful feat of modern engineering. Reserve at least 330,000 before starting construction.;One of the long standing problems for shipping on the Far Eastern and India trades has always been the need to round the African Cape in order to actually get there. By establishing a canal through the Suez, we will shorten the journey to Asia by days, as well as perform a wonderful feat of modern engineering. Reserve at least 330,000 before starting construction.;;;;;;
build_panama_canal_mod_title;Build the Andagoya Canal;Build the Andagoya Canal;Build the Andagoya Canal;Build the Andagoya Canal;Build the Andagoya Canal;Build the Andagoya Canal;Build the Andagoya Canal;Build the Andagoya Canal;;;;;;
build_panama_canal_mod_desc;Proposals for a Canal across the Andagoya Isthmus probably date back to the first discovery of the area. Nowhere is the strip of land that unites the North and South American continents thinner than here, and, with the aid of modern engineering, we could shorten the travel time between the Atlantic and The Pacific by several days by building it. Reserve at least ¤190,000 before starting construction.;;;;;;;;;;;;;
form_china_chagatai_title;Reclaim the Yuan Empire;Recréer l'empire mongol;Resurrect the Mongol Empire;;;;;;;;;;;
form_china_chagatai_desc;The Mongol Empire built by Temujin the Genghis Khan was divided among his four sons after his death. One of them was Chagatai. Many years have passed by and the only part of the Empire that survived was the Chagatai Khanate's successor - the Dzungar Khanate, the last heir to the Genghis's legacy. Today we completed the resurrection of the Empire under the green flag of Islam. Insha'Allah, let us rule China for ever!;L'empire mongol fondé par le Grand Khan Temüjin fut partagé entres ses quatre fils à sa mort. L'un d'entre eux était Cagataï. Les années ont passé et la seule partie de l'empire à avoir survécu est le Khanat de Cagataï. Aujourd'hui nous refondons l'empire sous la bannière verte de l'islam. Incha'Allah, nous régnerons sur la China pour toujours!;The Mongol Empire built by Temujin the Genghis Khan was divided among his four sons after his death. One of them was Chagatai. Many years have passed by and the only part of the Empire that survived was the Khanate of Chagatai. Today we completed the resurrection of the Empire under the green flag of Islam. Inch 'Allah, let us rule China for ever!;;;;;;;;;;;
