;;;;;;;;;;;;;;x                                          
DUA12.D;The king of the Dual-Monarchy has organised a great ceremony throughout the cities of France to honour his ancestor Louis XI king of France later sanctified as “Saint Louis”. He has put the accent on the treaty of Paris who settled peace between the Plantagenets and the Capetians. In a speech pronounced in the capital by Henri X affirming the French character of the monarchy who always has never forgotten its French roots. While praised on the continent, the speech has been criticized by many in England.;;;;;;;;;;;;;x 
DUA13.T;The great travel of Henri;;;;;;;;;;;;;x
DUA13.D;To further enhance his presence, Henri X decided to travel amongst France. He first visited Normandie where he praised his ancestor Guillaume who embarked to conquer England. He then turned to Brittany, a land attached to the Plantegenian monarchs. His travel led him then to La Rochelle. There he met several of the “Young French” leaders who spontaneously rallied to him and praised his signs in favour of France. He then travelled south passing through Gascony, Toulouse. He then made a stop in Vichy to remember the last great battle against the Valois before returning to the capital. Many people are acclaiming the king for this action that has strengthened the hold of the monarchy in France. ;;;;;;;;;;;;;x
DUA14.T;The Sons of Harold;;;;;;;;;;;;;x
DUA14.D;Lately a wave of contests have risen in England towards the French turn-around of Henri X. The English people have been indeed absent from the speeches of Henri and many are looking to alternatives. A certain John Tolsmith, professor in Cambridge, lately published a monumental history of England before the Norman Conquest. His book has become incredibly popular amongst the English students who have created an association to valorise their “English inheritance” called the “sons of Harold”, in reference to Harold Godwinson, the last Anglo-Saxon king. While this may only be a cultural association, many of its members are prone to radical ideas and it is said that the slogan of “Freiheit, Gleicheit, Brüderlichkeit” are murmured in these circles …  ;;;;;;;;;;;;;x
DUA15.T;Spread of the Sons of Harold ;;;;;;;;;;;;;x
DUA15.D;The sons of Harold have implemented themselves in this province and are already spreading their ideas ...;;;;;;;;;;;;;x
DUA16.T;"L'anglais est-il est une langue ?" ;;;;;;;;;;;;;x
DUA16.D;A dispute has emerged in the Sorbonne between two scholars to determine if English can be considered as a true language worthy of being spoken in the high spheres such as the government. While it can be seen as just a philological debate, we could influence the result in one way or the other.;;;;;;;;;;;;;x
DUA17.T;A new minister;;;;;;;;;;;;;x
DUA17.D;Sadly our prime minister has died in office. It falls upon the monarch to choose a new prime minister. Three candidates have the favour of the Parliament : the duke of Richelieu, known for his inclination for the Young French, the duke of Rohan, the Breton moderate and lastly the duke of Devonshire, well-known in the island. ;;;;;;;;;;;;;x
DUA18.T;The Shakespeare festival;;;;;;;;;;;;;x
DUA18.D;The English have organised a festival in Stratford upon Avon to honour a play-writer called William Shakespeare. Rediscovered by the sons of Harold, this unknown author has written many tragicomedies in English, which criticize heavily the Parisian Monarchy while praising English historical figures like his life of Alfred the Great in 4 plays. This festival could become a centre of protestation especially if they represent Henry VI ;;;;;;;;;;;;;x
DUA19.T;The death of the Prince of Wales;;;;;;;;;;;;;x
DUA19.D;While visiting England, the Prince of Wales and his entourage were attacked by radicals in the city of Liverpool. It resulted in the death of Henry, the heir of the Dual-Monarchy, his pregnant wife and his son. The attack made with an artisanal weaponry, that many call "the Infernal Machine", was imagined by students affiliated to the Sons of Harold. While Tolsmith has denied any implication of his organisation and vigorously condemned the attack, the king is persuaded of his implication and is determined in his grief to shut the the organisation.;;;;;;;;;;;;;x
DUA21.T;The English Monarchy;;;;;;;;;;;;;x
DUA21.D;Despite the troubles of the past years the monarchy has asserted its English roots. With London and Paris weighing the same in political matters the monarchy has gained the support of the English population!;;;;;;;;;;;;;x 
DUA22.T;The Midi Revolution;;;;;;;;;;;;;x
DUA22.D;The English backlash of Henry X has alienated the Southern French lands. The local Occitans have always been more rebellious because of their protestant roots and also because of their support for the Valois kings. The Revolt supported by the Sons of St-Louis has gained the control of most Occitania!;;;;;;;;;;;;;x
DUA23.T;Choosing the Government;;;;;;;;;;;;;x 
DUA23.D;The Occitan state must now choose what form of government it shall be : will they welcome the Valois pretender or proclaim a free Republic ?;;;;;;;;;;;;;x
DUA24.T;The March on Toulouse;;;;;;;;;;;;;x 
DUA24.D;The rebellious Occitan have acknowledged the Valois as the true Kings of France and pledged their loyalty to the reconquest of the throne.;;;;;;;;;;;;;x 
DUA25.T;The new Hundred Years War;;;;;;;;;;;;;x  
DUA25.D;Provence has taken control of our rebellious provinces and has pledged to not stop until Paris! We can't let them do this and must put an end to the War for the French Throne!;;;;;;;;;;;;;x  
DUA26.T;The Counter-revolution;;;;;;;;;;;;;x  
DUA26.D;Occitania has affirmed as an independent Republic! We can't let them do such a thing!;;;;;;;;;;;;;x 
DUA27.T;Creation of the Sons of St-Louis;;;;;;;;;;;;;x  
DUA27.D;A french nationalist organisation has been created yesterday in La Rochelle by a certain Francois Guizot, a university historian. The aim of this association is to strengthen the conscience of the French and Provencal people and make them aware of their distinctness from the British. The name has been taken from Louis XI, a King who was later canonized and who he is seen as a fatherly figure of French history. It is particularly popular amongst the French students and many fear they might be spreading revolutionary ideals...;;;;;;;;;;;;;x  
DUA28.T;Spread of the Sons of St-Louis;;;;;;;;;;;;;x
DUA28.D;The sons of St-Louis have implemented themselves in this province and are already spreading their ideas ...;;;;;;;;;;;;;x
DUA29.T;The Great Royal Travel;;;;;;;;;;;;;x
DUA29.D;To further enhance his presence, Henri X decided to travel amongst England. He first landed near Hastings where he praised his ancestor Guillaume who there managed to win the English crown. He then went to Londres where he visited the locals of the East Indian Company on the boards of the Tamise. His travel led him then to Cambridge and Ofxord. There he met several of the “Young English” leaders who spontaneously rallied to him and praised his signs in favour of England. He then travelled west and north passing through Wales and Livreport. He then made a stop in York to praise Richard Plantagenet, duke of York, one of the heroes of the early Dual-Monarchy. Many people are acclaiming the king for this action that has strengthened the hold of the monarchy in England. ;;;;;;;;;;;;;x
DUA30.T;Romanticism;;;;;;;;;;;;;x
DUA30.D;A new school has appeared in arts. The Romanticists defy the laws established by the classical school of Paris and coming back to the roots of Baroque. It is especially successful in England. Tolsmith and Lord Byron are publishing poems taking their roots in the old Saxon mythology, Scnery is writing plays who are inspired by Shakespeare... This school has however little sucess amongst the literary critics of the capital who accuse them of recklessly crossing laws that were fixed by wise Elders.;;;;;;;;;;;;;x
DUA40.T;The Anglois dilemma;;;;;;;;;;;;;x
DUA40.D;Reconciling both French and English will not be an easy task, Henri X knows it very well. The two groups may not like each other but they hate Paris even more, so an alliance of both needs to be prevented. However one must not charge too much against one group unless one wants a local revolution to happen ...;;;;;;;;;;;;;x
DUA41.T;The Glorious Revolution;;;;;;;;;;;;;x
DUA42.T;Pacification of England;;;;;;;;;;;;;x
DUA42.D;Despite the peril we managed to win against the revolutionaries, a fact that has strengthened our hold on all our territories;;;;;;;;;;;;;x
DUA43.T;Independence of England;;;;;;;;;;;;x
DUA43.D;The English nationalists have secured their independence. We can't succeed in our current policy with them being independent;;;;;;;;;;;;x
DUA44.T;Pacification of the Midi ;;;;;;;;;;;;x
DUA44.D;The Southern parts of our kingdom have been secured ! Despite the rebellion we can continue our policy of accepting both French and English !;;;;;;;;;;;;x
DUA45.T;Independent Occitania;;;;;;;;;;;;x
DUA45.D;The South has escaped from our power. With our mainland territories threatened we can't surely make our rule accepted in both England and France. ;;;;;;;;;;;;x
DUA46.T;The Midi Revolution;;;;;;;;;;;;x
DUA47.T;The Franco-English Revolution;;;;;;;;;;;;x 
DUA47.D;Revolters have swarmed the streets of the great cities of the Dual-Monarchy in a scale not seen since the First German Revolution ! The nationalist rebels are decided to end the monarchy in blood if necessary and with it the very idea of the Anglois dream.;;;;;;;;;;;;x
DUA48.T;The Anglo-French monarchy;;;;;;;;;;;;x 
DUA48.D;The Plantagenet throne has endured ! Despite the threat of radicals, nationalists and foreign power, all its people stands ready to serve their country ! The coming decades will surely be Anglois for who can stand against the combined force of the Dual-Monarchy of France and England ?;;;;;;;;;;;;x 
DUA50.T;Choosing a Patron;;;;;;;;;;;;x 
DUA50.D;The King has to choose an historical figure to honor in the coming months. Several proposals have emerged : Alfred the Great, the old Saxon king is admired by many across the Channel, Louis XI the Holy is seen as a benevolent figure here on the continent, Edouard IV was the first Plantagenet born in Paris and thus is seen as both a rallying figure for the Anglois but also a usurper for the French and a traitor for the English. No matter who the King chooses to honour it will not please everyone. ;;;;;;;;;;;;x 
DUA51.T;Liberal agitations ;;;;;;;;;;;;x 
DUA51.D;Liberals and Nationalists from both sides of the Channel have formed societies aimed at spreading their ideas. If we allow them, the Sons of Harold and Saint Louis will surely provoke problems in our territories but banishing them will provoke an even bigger reaction ... ;;;;;;;;;;;;x 
DUA52.T;'Histoire de la France depuis ses origines';;;;;;;;;;;;x 
DUA52.D;The historian Pierre Guizot has published a new book upon the history of France. The book has received a warm response from French scholars for its exhaustivity. But its portrayal of English and early Plantagenets is quite troublesome and his idea of "a distinct spirit existing since the Gauls' War" only amuses the French nationalists;;;;;;;;;;;;x 
DUA53.T;Saxon poetry;;;;;;;;;;;;;x
DUA53.D;An anthology of English poetry has been published in Cambridge by the Sons of Harold. Regrouping old and new poets alike, this book has become widely applaused in England but many scholars from Paris consider it a complete waste of time ...;;;;;;;;;;;;;x
DUA54.T;Travel of the Dauphin;;;;;;;;;;;;;x
DUA54.D;Henry X is becoming unfit to travel outside of Paris. He now has to delegate this duty to his son Henry, Dauphin of France and Prince of Wales;;;;;;;;;;;;;x
DUA55.T;A night in theatre ...;;;;;;;;;;;;;x
DUA55.D;Paris is bursting with cultural creation. Theatres attract the crowds with 3 great pieces having a huge success. First the adaptation of Alfred the Great, the main work of the English author Shakespeare which combines epic and comic, in a way that pleases the Romanticists. Another troup is playing 'Le Malade Imaginaire' of Moliere, a French comic author that travelled the roads of Southern France. Eventually another adaptation of 'Joan the Mad', the tragedy of Racine is still very loved by the court. If one of the Royals would attend one of these spectacles it would surely be seen as a symbol.;;;;;;;;;;;;;x
DUA56.T;Les Immortels;;;;;;;;;;;;;x 
DUA56.D;The Rotal Academy was founded in the XVIIth century to host the greatest literary minds of the whole kingdom and it has since evolved to also codify the official language from the monarchy. One of the Immortals' siege has been liberated and we have to nominate someone. Tolsmith despite being a Saxon is recognized as one of the greatest philologists from the kingdom. In Occitania the poet Jasmin has achieved in seducing the minds of the court. But the grammarian Morel could be nominated to show our will of uniformisation;;;;;;;;;;;;;x
