;;;;;;;;;;;;;x,,;;;;
gtfo_SIL_desc;We've had a good run, but it's time to end our relationship with Silesia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BLR_title;Remove Byelorussia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BLR_desc;We've had a good run, but it's time to end our relationship with Byelorussia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SLA_title;Remove Slavonia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SLA_desc;We've had a good run, but it's time to end our relationship with Slavonia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ORO_title;Remove Oromyia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ORO_desc;We've had a good run, but it's time to end our relationship with Oromyia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ERI_title;Remove Eritrea From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ERI_desc;We've had a good run, but it's time to end our relationship with Eritrea: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KUR_title;Remove Kurdistan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KUR_desc;We've had a good run, but it's time to end our relationship with Kurdistan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SRL_title;Remove Sri Lanka From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SRL_desc;We've had a good run, but it's time to end our relationship with Sri Lanka: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ADR_title;Remove Andhra From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ADR_desc;We've had a good run, but it's time to end our relationship with Andhra: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MLD_title;Remove Maldives From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MLD_desc;We've had a good run, but it's time to end our relationship with Maldives: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ATS_title;Remove Athesia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ATS_desc;We've had a good run, but it's time to end our relationship with Athesia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LST_title;Remove Lusitania From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LST_desc;We've had a good run, but it's time to end our relationship with Lusitania: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_JLS_title;Remove Jalisco From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_JLS_desc;We've had a good run, but it's time to end our relationship with Jalisco: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_OCE_title;Remove Oceti Sakowin From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_OCE_desc;We've had a good run, but it's time to end our relationship with Oceti Sakowin: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_AZT_title;Remove Aztlan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_AZT_desc;We've had a good run, but it's time to end our relationship with Aztlan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ZAP_title;Remove Oaxaca From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ZAP_desc;We've had a good run, but it's time to end our relationship with Oaxaca: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_PUR_title;Remove Purepecha From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_PUR_desc;We've had a good run, but it's time to end our relationship with Purepecha: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_CRC_title;Remove Curacao From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_CRC_desc;We've had a good run, but it's time to end our relationship with Curacao: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SAN_title;Remove Santandera From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SAN_desc;We've had a good run, but it's time to end our relationship with Santandera: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_CAS_title;Remove Catilla From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_CAS_desc;We've had a good run, but it's time to end our relationship with Castilla: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_GRA_title;Remove Granada From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_GRA_desc;We've had a good run, but it's time to end our relationship with Granada: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_QUI_title;Remove Quito From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_QUI_desc;We've had a good run, but it's time to end our relationship with Quito: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ARE_title;Remove Arequipa From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ARE_desc;We've had a good run, but it's time to end our relationship with Arequipa: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_TAP_title;Remove Tapajos From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_TAP_desc;We've had a good run, but it's time to end our relationship with Tapajos: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_AVA_title;Remove Taragui From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_AVA_desc;We've had a good run, but it's time to end our relationship with Taragui: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_EQN_title;Remove Equinoxea From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_EQN_desc;We've had a good run, but it's time to end our relationship with Equinoxea: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ATL_title;Remove Atlantia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ATL_desc;We've had a good run, but it's time to end our relationship with Atlantia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BTV_title;Remove Batavia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BTV_desc;We've had a good run, but it's time to end our relationship with Batavia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BHA_title;Remove Bharata From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BHA_desc;We've had a good run, but it's time to end our relationship with Bharata: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_HND_title;Remove Hindustan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_HND_desc;We've had a good run, but it's time to end our relationship with Hindustan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_DRA_title;Remove Dravida From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_DRA_desc;We've had a good run, but it's time to end our relationship with Dravida: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_NUS_title;Remove Nusantara From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_NUS_desc;We've had a good run, but it's time to end our relationship with Nusantara: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ARY_title;Remove Aryanam From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ARY_desc;We've had a good run, but it's time to end our relationship with Aryanam: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_WTT_title;Remove Wattara From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_WTT_desc;We've had a good run, but it's time to end our relationship with Wattara: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SLE_title;Remove Sierra Leone From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SLE_desc;We've had a good run, but it's time to end our relationship with Sierra Leone: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SDW_title;Remove South Adamawa From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SDW_desc;We've had a good run, but it's time to end our relationship with South Adamawa: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_GEN_title;Remove Genoa From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_GEN_desc;We've had a good run, but it's time to end our relationship with Genoa: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SVY_title;Remove Savoy From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SVY_desc;We've had a good run, but it's time to end our relationship with Savoy: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_DNB_title;Remove the Danubian Federation From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_DNB_desc;We've had a good run, but it's time to end our relationship with the Danubian Federation: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_DUA_title;Remove the Dual Monarchy From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_DUA_desc;We've had a good run, but it's time to end our relationship with the Dual Monarcy: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_TSS_title;Remove Transsiberia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_TSS_desc;We've had a good run, but it's time to end our relationship with Transsiberia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_HBE_title;Remove the Britannian Empire From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_HBE_desc;We've had a good run, but it's time to end our relationship with the Britannian Empire: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ARC_title;Remove Arcadia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ARC_desc;We've had a good run, but it's time to end our relationship with Arcadia: if you love something, let it go!;;;;;;;;;;;;x;;;;
